gamelength,gameId,platformId,puuid,summonerId,participantId,teamId,championId,spell1Id,spell2Id,accountId,summonerName,currentPlatformId,currentAccountId,matchHistoryUri,profileIcon,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk1,perk2,perk3,perk4,perk5,perk0Var1,perk0Var2,perk0Var3,perk1Var1,perk1Var2,perk1Var3,perk2Var1,perk2Var2,perk2Var3,perk3Var1,perk3Var2,perk3Var3,perk4Var1,perk4Var2,perk4Var3,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,creepsPerMinDeltas(10-20),xpPerMinDeltas(10-20),goldPerMinDeltas(10-20),damageTakenPerMinDeltas(10-20),role,lane,creepsPerMinDeltas(0-10),goldPerMinDeltas(0-10),xpPerMinDeltas(0-10),damageTakenPerMinDeltas(0-10),damageTakenDiffPerMinDeltas(10-20),damageTakenDiffPerMinDeltas(0-10),xpDiffPerMinDeltas(10-20),xpDiffPerMinDeltas(0-10),csDiffPerMinDeltas(0-10),csDiffPerMinDeltas(10-20),visonary,turretdestroyer,split,survivor,[damageTakenPerMinDeltas(10-20)],[xpPerMinDeltas(0-10)],[creepsPerMinDeltas(0-10)],[damageTakenDiffPerMinDeltas(10-20)],[xpDiffPerMinDeltas(0-10)],[creepsPerMinDeltas(10-20)],[damageTakenPerMinDeltas(0-10)],[xpDiffPerMinDeltas(10-20)],[csDiffPerMinDeltas(10-20)],[goldPerMinDeltas(10-20)],[csDiffPerMinDeltas(0-10)],[damageTakenDiffPerMinDeltas(0-10)],[goldPerMinDeltas(0-10)],[xpPerMinDeltas(10-20)],realRole
1042,5077642683,EUW1,,eLuIayvdRV-DdaWdenkYYXsuhiBgqTr9J6HjT2mOr6QWNxc,1,100,120,4,11,kzgLOHvEe7FS3ZYfQx3kF9eijRm6VltXHomMJmpFWUjoUg0,ElFugi,EUW1,kzgLOHvEe7FS3ZYfQx3kF9eijRm6VltXHomMJmpFWUjoUg0,/v1/stats/player_history/EUW1/218696597,1597,True,0,3047,3078,1036,1029,0,3340,3,2,6,2,1,1,420,0,0,0,0,0,90070,9657,71431,8980,0,7365,566,6558,240,10196,1,9736,10598,604,17,10,16224,1785,14081,357,7463,5733,1,0,19,94,59,11,199,11,2,0,7,0,False,False,True,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,9111,9105,8014,8143,8135,131,0,0,420,180,0,12,40,0,174,0,0,171,0,0,2370,5,0,8000,8100,5005,5008,5002,,,,,DUO_SUPPORT,NONE,0.0,266.1,322.9,799.4,,-85.18000000000006,,25.339999999999975,-0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,1
1042,5077642683,EUW1,,dlbUO4IMXNk0wz5caJ-jjQnQYqmqjTIPPk0SLz_nPEYcIh8,2,100,112,4,12,p2x-rDZmPpL9OL4v4sGxFsb5C9B448X_CGVW0EXFbty1D2w,Simmen,EUW1,p2x-rDZmPpL9OL4v4sGxFsb5C9B448X_CGVW0EXFbty1D2w,/v1/stats/player_history/EUW1/202781540,4618,True,1056,6653,1011,3020,1026,1082,3340,5,4,4,2,1,1,379,0,0,0,0,0,62701,49824,7406,5470,0,8151,7247,804,100,0,0,5915,2624,1336,5,22,9162,807,8043,311,7184,7100,0,0,116,4,0,0,216,12,2,0,5,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,8226,8210,8236,8304,8345,14,0,0,250,760,0,10,0,0,8,0,0,8,1,5,3,0,0,8200,8300,5008,5008,5001,,,,,DUO_SUPPORT,NONE,5.9,328.0,513.9,503.9,,-85.18000000000006,,25.339999999999975,-0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,2
1042,5077642683,EUW1,,jIAaNZNBX4F8Cgsb3nhXzo55ba6DcjNf3uBkU7VcSyR6rxN_,3,100,86,14,4,bdcUNFEeQzD_zf6KOdpmYH-pTaAAuuFURgAMGqeU0fQlsSHJjWeH0QP2,Chryziz,EUW1,bdcUNFEeQzD_zf6KOdpmYH-pTaAAuuFURgAMGqeU0fQlsSHJjWeH0QP2,/v1/stats/player_history/EUW1/2455254678852352,4783,True,1054,3047,2003,6029,3051,0,3340,3,0,1,3,1,1,0,0,0,0,0,0,67295,0,58714,8580,0,4874,0,3592,1282,395,1,5481,5496,3592,7,12,5579,156,5230,192,6486,4300,1,0,131,0,0,0,53,12,2,0,5,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,9111,9105,8014,8429,8451,184,0,0,229,80,0,16,50,0,44,0,0,30,16,13,124,0,0,8000,8400,5008,5008,5002,,,,,DUO_SUPPORT,NONE,6.0,250.0,491.0,277.20000000000005,,-85.18000000000006,,25.339999999999975,-0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,0
1042,5077642683,EUW1,,5QDkdFOdoRLqZLUkB5OJog0OEJC-VD7f5bYjQHmiGT-M60Y,4,100,145,7,4,KGhVwS2nRIwqLpabIN5lBErYggWiri9cOwhsv3utHuORpg,yerikow,EUW1,KGhVwS2nRIwqLpabIN5lBErYggWiri9cOwhsv3utHuORpg,/v1/stats/player_history/EUW1/25568591,4881,True,1055,6672,3006,6676,0,0,3340,8,1,3,8,2,1,268,1,0,0,0,0,67950,6418,57705,3826,356,11835,2187,8581,1066,3837,2,3882,5453,1901,10,0,7715,531,6546,637,8376,8000,1,0,119,8,0,4,0,10,0,0,5,2,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,8139,8138,8135,9111,9104,50,92,0,478,0,0,18,0,0,2127,5,0,411,220,0,11,10,0,8100,8000,5005,5008,5002,,,,,DUO_SUPPORT,NONE,6.6,405.5,379.7,460.0,,-85.18000000000006,,25.339999999999975,-0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,3
1042,5077642683,EUW1,,k5ozjQFiuQLbbnTK3uRrhqramRcIpwVhh4d_DKSjQcUJHDY,5,100,555,14,4,4i5Zw2U1L1PZNfnSlxEROtox6x0nJvbr_Et7DfP8La0jp3I,taki mlaki,EUW1,4i5Zw2U1L1PZNfnSlxEROtox6x0nJvbr_Et7DfP8La0jp3I,/v1/stats/player_history/EUW1/212413108,3496,True,3855,6693,2055,1036,3117,1036,3364,1,2,9,0,1,0,369,0,0,0,0,0,20020,0,11396,8624,0,3658,0,3207,451,1081,1,3349,8150,896,36,11,6893,984,5387,521,6257,5925,0,0,26,0,0,0,45,8,7,0,22,8,False,False,False,True,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8128,8126,8136,8105,9111,8014,210,6,0,115,0,0,11,30,0,13,5,0,257,200,0,88,0,0,8100,8000,5008,5008,5002,,,,,DUO_SUPPORT,NONE,1.2999999999999998,218.89999999999998,219.60000000000002,331.0,,-85.18000000000006,,25.339999999999975,-0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,4
1042,5077642683,EUW1,,N72oTmUwCGGeYn1cESn87sgUpyOD0soDK3-XnXwfFtcei6xK,6,200,77,4,11,-q7Mf63f52ShjNvMqXaBR7BGqMkT0yZ2ri9moEwvW_3y6P1f0wvWFE7H,éheheheheheheheh,EUW1,-q7Mf63f52ShjNvMqXaBR7BGqMkT0yZ2ri9moEwvW_3y6P1f0wvWFE7H,/v1/stats/player_history/EUW1/2481139359598304,4658,False,1039,2031,6664,1001,0,0,3340,0,3,2,0,0,0,340,0,0,0,0,0,45669,21687,21608,2374,0,611,90,473,48,4070,1,5513,3363,0,4,5,11026,2713,8215,98,4337,3600,0,0,1,68,57,4,121,7,0,0,2,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,8275,8234,8232,9105,8014,1,0,0,5,0,0,3278,0,0,1,30,0,0,0,0,7,0,0,8200,8000,5005,5008,5002,,,,,DUO_SUPPORT,NONE,0.1,282.5,336.9,895.7,,85.18000000000006,,-25.339999999999975,0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,1
1042,5077642683,EUW1,,A4hWTN65sJO-U2oXTPEKBJmWgwAOHtSgIZ3idtFxXZhLYEQ,7,200,12,14,4,ngH-stsLCxBZ4ncnSgz9v8jfXl1sit37Qou01rS-DiGPlQ,solberga11,EUW1,eKUGXjec3uV_9xuVu2ItU8Meshhn13aPITl3GLkJLvIXwA,/v1/stats/player_history/EUN1/32582991,4757,False,3117,3859,6660,1029,1033,2055,3364,1,4,3,0,1,0,375,0,0,0,0,0,19615,7729,3689,8195,0,3351,2171,676,504,1695,4,8017,2753,0,21,23,10254,1235,8365,653,4111,3800,0,0,38,0,0,0,53,8,6,0,14,9,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,8275,8234,8232,8306,8321,9,0,0,8,0,0,6641,0,0,3,0,0,1,0,0,2,0,0,8200,8300,5007,5002,5003,,,,,DUO_SUPPORT,NONE,1.7,207.8,238.3,437.2,,85.18000000000006,,-25.339999999999975,0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,4
1042,5077642683,EUW1,,sO2Cn1Nt3dcB1jXVDp2lMO-TvGe40jqPiVx6Zm3LwUzhVxQF,8,200,67,7,4,Uds8qRvRu4Jib8GRtPCSIF4mOdJ1qc_H_hTMW9ea7gdzD5c,Gariban,EUW1,B2a7JSI4OiAFYIeBxXEtreBaAeTQEOodAXTbuOiPtp8bM9c,/v1/stats/player_history/TR1/207569660,1228,False,1055,6672,0,3006,0,1042,3340,2,5,1,0,1,0,268,0,0,0,0,0,46839,0,41905,4933,256,6320,0,5598,722,1805,2,3423,2554,1475,10,3,8937,1300,7051,585,5759,5525,0,0,110,0,0,0,4,10,1,0,6,2,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,9111,9104,8014,8139,8135,584,429,154,112,60,0,0,0,0,95,0,0,363,0,0,832,2,0,8000,8100,5005,5008,5002,,,,,DUO_SUPPORT,NONE,5.9,289.6,335.6,485.2,,85.18000000000006,,-25.339999999999975,0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,3
1042,5077642683,EUW1,,NBi7Rc0GpIXLzjonwwYf5NDj7wDS9W7KzCjVE60uJF2S-41DwUuBjE7xPQ,9,200,157,4,12,5ocfnFkmil2V9rW9d6KCcmbE8-dtX8CcpcnpmuCFtcckaOBVFAstkXrT,TheGuidedOne,EUW1,5ocfnFkmil2V9rW9d6KCcmbE8-dtX8CcpcnpmuCFtcckaOBVFAstkXrT,/v1/stats/player_history/EUW1/2584500008068576,4862,False,1055,6672,3006,1055,0,0,3340,4,4,1,2,1,1,557,0,0,0,0,0,58751,6853,48617,3279,345,8816,915,7611,289,2131,1,10715,0,0,9,14,12275,4254,6981,1039,6151,5600,0,0,112,0,0,0,71,11,0,0,5,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,9111,9104,8017,8473,8401,1241,0,0,311,100,0,0,0,0,84,0,0,460,0,0,171,0,0,8000,8400,5005,5003,5003,,,,,DUO_SUPPORT,NONE,5.7,297.1,465.20000000000005,491.3,,85.18000000000006,,-25.339999999999975,0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,2
1042,5077642683,EUW1,,9U8EeXnWFoO0_nRpIFNiVj52_lOWR-0YjR70XUJ9UymL8sc,10,200,122,4,6,jcVyGVgWu8tQrxqpoUBLi9-A0o_jupuXchbV8guYG5Mtow,o0safus,EUW1,jcVyGVgWu8tQrxqpoUBLi9-A0o_jupuXchbV8guYG5Mtow,/v1/stats/player_history/EUW1/39127242,4409,False,3047,6631,2033,1028,1036,0,3340,2,4,0,2,1,1,415,0,0,0,0,0,62356,87,54273,7996,0,6846,87,6303,456,1122,1,5155,533,533,9,10,9332,2439,6128,763,5775,5650,0,0,121,0,0,0,45,10,0,0,5,1,True,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,9111,9104,8299,8234,8275,155,0,0,121,40,0,0,0,0,175,0,0,4054,0,0,5,0,0,8000,8200,5005,5008,5002,,,,,DUO_SUPPORT,NONE,7.1,317.0,424.4,488.0,,85.18000000000006,,-25.339999999999975,0.1399999999999999,,0,0,0,0,,,,,,,,,,,,,,,0
